title,media_type,collection
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space (and the Subsequent Assault of the Equally Evil Lunchroom Zombie Nerds),Book,Dav Pilkey
Captain Underpants and the Perilous Plot of Professor Poopypants,Book,Dav Pilkey
Captain Underpants and the Wrath of the Wicked Wedgie Woman,Book,Dav Pilkey
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy (Parts 1 & 2)",Book,Dav Pilkey
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy (Parts 1 & 2)",Book,Dav Pilkey
Captain Underpants and the Preposterous Plight of the Purple Potty People,Book,Dav Pilkey
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,Book,Dav Pilkey
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,Book,Dav Pilkey
Captain Underpants and the Tyrannical Retaliation of the Turbo Toilet 2000,Book,Dav Pilkey
Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot,Book,Dav Pilkey
Savage Stone Age,Book,Horrible Histories
Awesome Egyptians,Book,Horrible Histories
Awful Egyptians,Book,Horrible Histories
Groovy Greeks,Book,Horrible Histories
Rotten Romans,Book,Horrible Histories
Ruthless Romans,Book,Horrible Histories
Cut-Throat Celts,Book,Horrible Histories
Smashing Saxons,Book,Horrible Histories
Vicious Vikings,Book,Horrible Histories
Stormin' Normans,Book,Horrible Histories
Measly Middle Ages,Book,Horrible Histories
Angry Aztecs,Book,Horrible Histories
Incredible Incas,Book,Horrible Histories
Terrible Tudors,Book,Horrible Histories
Terrifying Tudors,Book,Horrible Histories
Slimy Stuarts,Book,Horrible Histories
Gorgeous Georgians,Book,Horrible Histories
Vile Victorians,Book,Horrible Histories
Villainous Victorians,Book,Horrible Histories
Barmy British Empire,Book,Horrible Histories
Frightful First World War,Book,Horrible Histories
Woeful Second World War,Book,Horrible Histories
Blitzed Brits,Book,Horrible Histories
The Gruffalo,Book,
The Beano,Book,Beano
One Piece,Book,Eiichiro Oda
Dragon Ball,Book,Akira Toriyama
Diary of a Wimpy Kid,Book,Jeff Kinney
Diary of a Wimpy Kid: Rodrick Rules,Book,Jeff Kinney
Diary of a Wimpy Kid: The Last Straw,Book,Jeff Kinney
Diary of a Wimpy Kid: Dog Days,Book,Jeff Kinney
Diary Of A Wimpy Kid: The Ugly Truth,Book,Jeff Kinney
Diary of a Wimpy Kid: Cabin Fever,Book,Jeff Kinney
Diary of a Wimpy Kid: The Third Wheel,Book,Jeff Kinney
Diary of a Wimpy Kid: Hard Luck,Book,Jeff Kinney
Diary of a Wimpy Kid: The Long Haul,Book,Jeff Kinney
Diary of a Wimpy Kid: Old School,Book,Jeff Kinney
Soccer Squad: Starting Eleven,Book,Bali Rai
Soccer Squad: Missing!,Book,Bali Rai
Soccer Squad: Stars!,Book,Bali Rai
Soccer Squad: Glory!,Book,Bali Rai
